date,country,traffic_channel,device_type,platform,visits,session_duration,no_of_customers,impressions,views,wishlist_adds,cart_adds,items_purchased
2025-10-15,Germany,Direct,Desktop,iOS,3,7.12,3,10069,2664,68,281,107
2025-06-04,Germany,Paid,Desktop,iOS,9,4.7,6,3852,504,9,28,7
2024-07-24,Germany,Organic,Tablet,iOS,2,6.39,1,7522,1348,19,109,35
2025-05-20,Germany,Paid,Desktop,Android,6,5.06,2,2021,194,7,6,1
2025-07-21,United Kingdom,Direct,Mobile,iOS,1,4.5,1,1759,410,5,41,20
2025-04-23,Spain,Paid,Desktop,iOS,4,3.93,3,7013,760,16,30,4
2025-09-18,Spain,Organic,Desktop,Android,4,7.57,2,8193,1173,18,86,13
2024-11-12,United Kingdom,Organic,Tablet,iOS,5,2.98,1,4810,904,14,79,25
2025-05-05,Italy,Direct,Desktop,iOS,6,8.51,6,3062,591,18,51,18
2025-02-23,Spain,Social,Tablet,iOS,3,5.58,2,5223,254,4,8,0
2024-05-08,Spain,Referral,Mobile,iOS,1,5.38,1,4220,466,8,23,5
2025-04-05,France,Referral,Mobile Web,Others,4,4.3,1,5524,451,14,22,3
2024-05-11,Italy,Referral,Mobile Web,Android,2,2.85,2,2133,172,1,6,1
2024-05-12,Spain,Direct,Desktop,Android,2,5.99,1,7952,1696,50,129,32
2024-05-07,Italy,Paid,Mobile Web,Android,4,3.23,1,7622,498,9,29,2
2024-11-07,Spain,Organic,Tablet,Android,5,3.58,2,11418,1505,41,108,18
2024-11-26,Germany,Organic,Mobile,iOS,4,6.05,2,3456,565,6,48,13
2024-12-20,Ireland,CRM,Mobile,Android,6,4.81,2,8631,1414,42,110,21
2024-03-21,Spain,Organic,Desktop,Others,5,6.25,3,1137,192,4,15,2
2025-10-12,France,Direct,Desktop,iOS,6,5.73,2,7068,1735,57,146,50
2024-05-08,Spain,Social,Mobile,Android,7,1.74,3,3369,152,1,1,0
2025-09-21,Ireland,Paid,Mobile Web,Others,9,1.54,5,3776,294,10,11,0
2025-05-29,Spain,Social,Tablet,Android,5,3.33,1,6818,271,1,11,0
2025-08-29,Ireland,Organic,Mobile,Android,4,6.67,2,7434,1142,46,83,19
2024-06-24,Spain,Direct,Desktop,Android,5,9.21,2,9040,1993,21,189,55
2025-09-11,Ireland,CRM,Mobile,Others,5,5.06,5,2729,456,4,34,6
2024-02-12,France,Paid,Desktop,Android,3,5.3,3,8542,939,16,51,8
2024-02-16,United Kingdom,Paid,Tablet,iOS,6,7.35,1,3977,523,10,45,9
2024-08-03,Ireland,Social,Tablet,Android,4,3.85,3,3373,168,5,6,0
2025-09-24,Spain,Paid,Desktop,iOS,6,6.0,4,3435,408,8,24,1
2025-05-24,Ireland,Referral,Desktop,Android,4,3.05,1,5498,589,16,46,10
2025-10-19,Ireland,Organic,Desktop,iOS,4,3.56,3,4224,877,12,69,21
2024-09-07,France,Paid,Desktop,Others,3,0.79,2,5099,476,8,28,6
2024-10-31,Ireland,Paid,Mobile,Android,6,1.58,4,5199,412,7,17,1
2024-03-02,Italy,CRM,Desktop,Android,3,5.57,1,8194,2120,39,196,51
2025-03-01,Germany,CRM,Desktop,iOS,4,6.47,4,7989,2177,33,289,137
2024-07-27,Italy,Paid,Tablet,Android,3,2.52,2,4477,381,7,14,1
2024-11-16,France,Organic,Mobile,Android,4,6.08,2,3742,599,8,32,6
2024-12-19,Ireland,Paid,Mobile Web,iOS,7,3.94,3,4993,398,2,13,3
2025-01-14,Italy,Organic,Mobile Web,Android,9,4.41,3,5913,691,10,39,7
2024-04-18,Spain,Paid,Mobile,Android,7,4.16,5,5773,383,8,15,2
2025-04-22,France,Referral,Mobile,iOS,7,2.4,2,3440,432,15,24,4
2025-04-05,United Kingdom,Organic,Desktop,Android,3,5.8,2,1257,238,7,19,5
2024-04-09,Germany,Social,Mobile,Android,3,4.03,1,8758,514,13,16,1
2025-01-28,United Kingdom,Social,Desktop,Others,6,4.22,3,8987,684,11,25,1
2024-09-11,Spain,Paid,Desktop,iOS,4,2.47,4,9178,782,24,48,3
2025-08-14,Germany,Organic,Desktop,Android,3,5.37,2,3776,858,23,69,20
2024-07-13,Ireland,Social,Desktop,Android,8,3.74,6,4956,311,5,11,0
2025-06-11,Germany,Paid,Mobile Web,Others,3,3.99,2,3713,293,3,12,1
2024-11-11,Italy,Paid,Mobile Web,Android,6,1.64,4,3314,221,7,13,1
2024-04-02,Italy,Organic,Mobile,iOS,2,5.92,1,3186,543,9,49,10
2024-09-03,Italy,Referral,Mobile Web,Android,4,3.61,4,2765,263,3,18,3
2024-12-27,Germany,Social,Desktop,iOS,5,4.29,5,7845,579,8,24,4
2024-10-15,United Kingdom,Paid,Mobile,iOS,4,4.35,1,7965,789,18,51,10
2024-10-19,Italy,Referral,Desktop,iOS,2,5.16,2,3208,343,12,25,7
2024-04-20,Spain,Direct,Mobile,iOS,5,6.84,1,4759,1001,26,80,16
2024-09-27,Italy,Social,Mobile Web,Android,3,3.04,1,2873,97,1,4,0
2025-02-16,Ireland,Paid,Mobile,Others,2,1.73,2,3322,217,1,10,3
2025-02-14,France,Organic,Mobile Web,Android,6,4.28,1,6071,880,27,50,9
2025-01-06,United Kingdom,Organic,Mobile,Android,2,3.43,1,4101,676,7,50,11
2024-03-16,Spain,Organic,Mobile,iOS,2,6.31,2,7669,1144,19,84,18
2025-04-06,Italy,Referral,Desktop,Android,11,3.49,9,6109,581,8,48,8
2025-09-30,Spain,Organic,Mobile,iOS,5,6.15,3,4029,532,15,38,4
2024-05-01,Ireland,Social,Desktop,iOS,3,5.79,3,3568,250,1,14,3
2025-02-07,Germany,Organic,Desktop,Android,5,5.94,1,1233,258,4,25,4
2025-07-25,France,Direct,Mobile,Others,2,7.38,2,6582,1053,14,85,12
2024-07-22,France,Referral,Mobile Web,Others,3,3.87,1,9575,743,7,37,3
2025-02-15,Spain,CRM,Mobile,Android,6,5.29,5,3296,583,13,39,11
2024-02-16,Spain,Organic,Desktop,Android,9,6.28,1,2354,348,6,20,3
2024-12-07,United Kingdom,Social,Desktop,iOS,3,3.47,1,8315,720,21,34,3
2024-06-01,Italy,Paid,Desktop,iOS,8,4.12,8,2139,252,2,11,1
2024-05-23,Spain,Organic,Desktop,iOS,5,4.5,5,7214,1337,16,97,25
2024-11-22,France,CRM,Mobile,Android,5,5.61,5,10262,2136,45,204,47
2025-09-23,Germany,Organic,Tablet,iOS,1,1.87,1,7498,1680,18,163,40
2025-08-30,Ireland,Paid,Tablet,iOS,4,4.08,3,1733,172,0,15,2
2025-06-05,France,Referral,Desktop,Android,7,3.45,5,2770,322,5,20,1
2025-07-30,Spain,Organic,Desktop,iOS,9,4.89,8,7567,1366,31,121,28
2024-01-18,France,Paid,Mobile,Android,10,3.79,8,9380,848,14,37,4
2024-04-22,France,Paid,Mobile,Android,5,2.34,3,3047,223,1,10,0
2025-10-06,Italy,Social,Tablet,Android,9,3.46,5,8240,359,6,16,1
2025-04-30,United Kingdom,Social,Desktop,Android,3,5.01,3,2138,130,6,3,0
2024-02-22,France,Social,Tablet,Others,9,2.52,4,6228,324,5,7,2
2024-06-23,Spain,Direct,Desktop,Android,5,7.27,4,6291,1224,30,110,30
2024-05-31,Spain,Social,Mobile Web,iOS,9,3.9,7,5383,262,9,9,4
2024-02-02,Ireland,CRM,Mobile,Android,6,5.1,2,4857,870,14,77,17
2024-07-14,Spain,Paid,Mobile Web,Android,4,3.04,1,2481,165,8,8,1
2024-11-17,United Kingdom,Organic,Mobile,Others,4,6.13,4,5193,918,12,59,14
2025-02-26,Italy,Referral,Desktop,iOS,1,5.91,1,3754,525,5,38,8
2025-02-24,Ireland,Paid,Mobile,Others,7,4.46,2,2470,165,1,8,2
2025-09-18,Spain,Organic,Mobile,Android,7,3.52,7,3595,506,12,31,8
2024-03-04,Italy,Organic,Tablet,iOS,7,6.32,7,8687,1680,20,107,17
2025-06-15,Ireland,Organic,Desktop,Android,6,6.43,2,9269,1614,19,85,20
2025-05-04,Germany,Organic,Mobile,iOS,8,3.71,6,1516,251,3,14,3
2024-11-17,Spain,Social,Mobile,Android,6,1.58,4,3800,201,1,2,0
2025-06-29,Germany,Referral,Mobile,Android,6,3.52,4,6731,621,14,35,5
2025-10-20,France,Paid,Mobile Web,Android,2,4.16,2,3466,274,8,9,0
2025-09-16,Ireland,Organic,Mobile,iOS,1,4.52,1,6473,999,27,80,12
2024-09-09,Italy,Social,Mobile,Android,4,2.76,2,7840,343,6,14,1
2024-11-01,France,Direct,Desktop,iOS,11,7.97,9,5499,1342,31,136,38
2024-10-22,Germany,Organic,Mobile Web,Android,4,5.87,3,3052,471,13,31,6
2025-05-15,Ireland,Referral,Tablet,Android,5,3.79,2,4056,402,9,24,6
2024-12-23,France,CRM,Desktop,Android,4,2.36,4,1681,475,5,63,20
2024-10-21,Spain,Organic,Desktop,Android,11,6.19,5,3170,504,2,40,5
2025-07-10,United Kingdom,Organic,Desktop,Android,3,10.02,3,8174,1706,50,154,49
2024-12-19,Italy,Social,Mobile,Others,2,3.35,2,5318,262,7,4,0
2024-02-13,Germany,Organic,Desktop,iOS,6,11.08,3,3821,710,15,64,16
2024-12-20,France,Organic,Desktop,iOS,2,4.78,1,3720,727,21,75,18
2024-09-19,Italy,Paid,Mobile,iOS,3,3.68,3,8013,595,17,33,7
2024-08-07,Ireland,Paid,Mobile,Android,4,3.45,4,5372,440,11,20,4
2025-07-29,Germany,CRM,Desktop,Android,4,4.71,3,1235,296,9,21,11
2024-05-20,Ireland,Organic,Mobile,Android,6,4.96,3,8274,1070,21,65,11
2024-09-05,United Kingdom,Organic,Mobile,Android,8,7.08,4,2516,407,13,26,8
2025-10-15,United Kingdom,Referral,Mobile Web,Others,4,1.85,2,1195,106,3,2,0
2024-04-12,Germany,Referral,Mobile,iOS,4,3.8,1,3041,293,5,23,5
2025-04-28,Italy,Organic,Mobile,Android,4,5.69,3,8543,1066,35,75,12
2024-05-20,United Kingdom,CRM,Tablet,Others,7,6.34,6,9913,2769,66,284,102
2024-06-10,United Kingdom,Paid,Desktop,Android,6,4.83,5,6518,845,14,42,6
2025-05-02,Italy,Referral,Mobile,iOS,3,3.33,3,2049,182,4,11,2
2024-10-21,Italy,Social,Tablet,Android,2,2.18,1,8284,464,7,12,2
2024-03-01,France,Paid,Mobile,Android,9,4.93,5,5570,460,12,29,2
2024-08-25,United Kingdom,Organic,Mobile,Android,5,6.62,5,1091,163,5,12,1
2024-06-28,Spain,Organic,Desktop,iOS,9,8.59,1,1141,239,2,19,2
2024-02-07,Italy,Social,Mobile,Android,5,4.0,2,8863,344,3,7,1
2024-07-09,Italy,Organic,Desktop,iOS,2,8.79,2,6750,1282,19,112,28
2024-02-08,Ireland,Paid,Tablet,iOS,5,4.33,3,3479,303,7,22,5
2025-08-04,United Kingdom,Direct,Mobile Web,Android,4,6.51,3,3570,634,13,49,10
2024-12-09,Spain,Paid,Mobile Web,Android,6,2.11,1,3049,211,7,5,1
2025-10-18,France,Social,Desktop,iOS,7,5.1,4,7652,467,11,24,4
2024-05-17,Spain,Paid,Desktop,Android,2,5.36,2,8450,714,14,50,9
2024-10-06,Spain,Organic,Desktop,Android,5,6.01,4,3801,577,19,38,13
2024-12-04,Germany,Paid,Mobile,Android,5,4.09,1,7297,554,9,17,2
2024-09-20,Germany,Organic,Mobile Web,Android,5,6.19,4,8903,1573,27,107,22
2024-01-15,Ireland,Direct,Mobile Web,Others,5,6.04,2,5795,909,10,84,24
2024-10-29,Ireland,Paid,Mobile,iOS,3,5.91,2,3462,309,6,8,0
2024-06-28,Spain,Organic,Mobile Web,iOS,4,6.95,2,1773,222,7,12,1
2025-03-13,Spain,Organic,Mobile,iOS,4,7.89,4,7744,1053,25,73,13
2024-03-29,Spain,Direct,Desktop,iOS,3,8.18,2,9325,2296,46,170,40
2024-07-08,Italy,Organic,Mobile,Android,4,6.99,1,9272,1113,10,73,14
2024-11-27,Germany,Organic,Mobile,Android,4,8.39,4,5963,1071,16,70,14
2024-09-24,Germany,Paid,Desktop,Android,4,3.83,1,1169,125,0,6,1
2025-04-02,Italy,Paid,Mobile,iOS,4,4.55,2,1156,104,1,10,0
2024-11-05,France,Paid,Desktop,iOS,7,5.61,3,3584,445,13,25,1
2025-08-09,Spain,Organic,Desktop,iOS,7,8.7,6,7692,1362,37,87,16
2025-01-03,United Kingdom,Organic,Mobile,Android,3,5.3,2,6407,969,12,63,16
2024-03-04,Ireland,Paid,Desktop,Others,6,5.2,2,9147,915,27,49,7
2025-04-21,Ireland,Social,Mobile Web,iOS,3,3.02,1,4722,196,3,6,0
2025-02-19,France,Paid,Desktop,iOS,5,3.79,2,3167,293,4,25,8
2024-11-14,Ireland,Paid,Tablet,Android,5,3.46,5,3514,315,6,17,3
2025-10-16,Ireland,Referral,Desktop,Android,3,3.67,1,4182,404,9,26,5
2025-09-21,France,Organic,Mobile,Android,4,4.19,3,1799,287,5,27,3
2024-05-16,Germany,Organic,Mobile,iOS,5,7.1,2,9341,1438,33,98,32
2025-04-10,Italy,Referral,Desktop,Android,7,5.95,2,6062,666,15,62,14
2025-03-01,Ireland,Paid,Desktop,Android,1,4.31,1,3434,298,2,13,1
2025-04-27,Ireland,Organic,Desktop,Others,5,4.0,5,9654,1494,43,90,24
2024-09-10,Spain,Social,Tablet,Android,9,2.48,4,3139,183,2,6,2
2025-06-22,Ireland,Organic,Tablet,Others,2,4.52,1,7375,1262,12,81,22
2025-01-05,Italy,Paid,Desktop,Android,5,5.38,5,5972,565,19,30,7
2024-03-04,United Kingdom,Organic,Desktop,iOS,4,3.77,1,8426,2135,42,231,82
2024-07-26,Spain,Referral,Mobile,Android,10,3.69,9,1566,102,2,3,0
2024-06-02,Spain,Paid,Desktop,Android,7,3.64,5,4031,319,13,25,4
2025-06-16,Germany,Organic,Desktop,iOS,6,7.24,3,5643,1349,13,131,32
2024-07-29,Italy,Organic,Mobile,Android,6,5.31,1,1487,200,4,10,2
2025-05-15,Ireland,CRM,Desktop,iOS,6,8.92,5,2978,928,5,104,35
2024-02-26,United Kingdom,CRM,Mobile,Android,8,3.07,8,7093,1762,54,170,46
2025-06-09,Italy,Paid,Desktop,iOS,5,4.55,2,5467,519,5,23,2
2025-07-31,Italy,Organic,Mobile Web,iOS,7,5.58,4,6908,1078,10,56,9
2024-11-11,United Kingdom,Organic,Mobile,iOS,4,8.52,4,7930,1693,42,134,37
2025-02-09,Ireland,Direct,Mobile,iOS,6,6.29,1,4207,685,13,49,10
2024-08-11,France,Paid,Desktop,iOS,5,4.91,1,8009,985,23,49,15
2024-02-16,Spain,Organic,Desktop,iOS,6,2.57,1,9712,1863,27,170,37
2024-03-06,Italy,Paid,Mobile,Android,3,5.59,2,1895,132,2,10,1
2024-03-11,Spain,Paid,Mobile,iOS,1,5.76,1,2239,170,3,8,0
2024-10-20,Italy,Paid,Mobile,iOS,7,6.98,1,3680,348,10,11,0
2024-05-18,Italy,Organic,Mobile Web,iOS,4,5.87,2,5735,933,34,61,10
2025-01-18,Ireland,Paid,Desktop,Android,4,1.52,4,4545,443,8,28,6
2025-01-21,Italy,Direct,Mobile,Android,6,6.35,4,6469,1014,20,74,10
2025-07-06,Italy,CRM,Desktop,Android,4,5.22,1,10301,2364,65,193,80
2024-05-01,Germany,Organic,Desktop,iOS,5,6.82,3,7205,1654,19,158,38
2025-02-06,Germany,CRM,Mobile,Android,7,3.13,5,6785,1668,41,130,44
2024-08-16,Spain,Organic,Desktop,Others,6,2.08,2,4436,602,3,35,7
2024-11-01,United Kingdom,Direct,Mobile Web,Android,3,3.68,1,2738,505,15,42,15
2025-06-28,Italy,Organic,Mobile Web,iOS,4,2.93,4,6000,805,14,55,11
2024-09-10,Italy,Paid,Tablet,Android,8,4.58,4,3941,379,9,18,1
2024-06-07,Italy,Paid,Tablet,Others,8,3.55,6,8501,573,16,32,1
2024-04-25,France,Organic,Mobile,iOS,6,4.83,2,4971,830,20,58,17
2025-09-21,United Kingdom,Social,Tablet,Android,1,3.25,1,5863,330,3,15,2
2024-07-30,United Kingdom,Organic,Mobile Web,iOS,3,5.49,1,1659,262,6,29,6
2025-08-31,United Kingdom,Organic,Tablet,Android,7,3.03,1,8444,1569,31,134,35
2025-09-04,United Kingdom,Organic,Mobile,iOS,9,3.57,8,3432,578,20,49,8
2024-02-19,Ireland,Paid,Mobile,Others,3,2.43,3,9711,823,23,32,3
2024-02-15,Germany,Organic,Mobile Web,Android,3,6.61,3,8838,1255,19,79,19
2024-08-27,Italy,Referral,Tablet,iOS,2,5.57,2,4321,437,11,24,6
2024-02-27,Spain,Organic,Mobile,iOS,2,7.71,1,3580,634,13,57,11
2024-10-23,Germany,Social,Desktop,Android,5,3.38,5,9942,669,13,36,4
2025-08-14,Germany,Social,Desktop,Android,9,4.21,6,9551,546,13,21,4
2024-11-24,Spain,Organic,Mobile,Android,6,3.42,6,7876,967,17,76,17
2024-05-26,Germany,Organic,Mobile,Android,5,5.38,3,10440,1657,22,119,30
2024-08-14,Ireland,Organic,Mobile,iOS,5,5.97,5,5061,797,17,59,11
2024-10-08,Italy,Paid,Mobile,Android,7,5.2,3,9301,618,13,32,1
2025-08-28,United Kingdom,Paid,Desktop,iOS,3,4.26,3,9117,948,13,92,22
2025-10-03,Ireland,Organic,Mobile,Android,6,7.39,2,2255,342,2,18,5
2025-07-23,Ireland,Organic,Mobile,iOS,9,2.85,7,5961,929,17,51,10
2024-12-18,Italy,Referral,Mobile,Android,1,2.5,1,2761,299,4,17,2
2025-06-21,Ireland,Organic,Desktop,Android,5,1.2,4,2379,477,9,32,3
2025-03-02,France,CRM,Desktop,iOS,3,8.1,3,6813,2055,41,219,76
2024-11-03,Italy,Organic,Mobile Web,Android,3,4.41,1,2457,362,3,23,4
2025-07-04,Italy,Social,Mobile,iOS,9,2.85,3,7895,351,10,9,0
2024-08-18,Italy,Organic,Desktop,Android,7,7.02,2,2451,377,11,24,6
2024-05-27,France,CRM,Desktop,iOS,6,2.72,6,6020,1476,10,173,61
2025-07-29,Italy,Organic,Mobile,Android,6,4.28,1,2416,302,5,24,6
2025-07-24,Italy,Organic,Desktop,iOS,7,9.7,4,3104,569,5,52,19
2025-02-01,Spain,Direct,Mobile Web,Android,5,6.3,2,6971,1183,23,74,15
2024-07-27,Germany,Paid,Mobile,Android,1,4.96,1,5527,560,15,24,3
2025-04-05,France,Paid,Desktop,Android,2,6.0,1,6524,579,14,24,2
2025-07-02,France,Organic,Mobile,Android,4,7.11,1,4301,773,15,53,11
2024-02-22,Ireland,Organic,Mobile,iOS,4,4.55,2,7144,1098,18,70,20
2025-09-11,France,Organic,Mobile,iOS,3,9.19,2,3566,570,10,44,6
2024-03-15,Spain,Paid,Tablet,Android,7,5.09,1,6159,510,7,14,0
2025-07-26,Germany,Paid,Desktop,Others,3,3.35,3,7594,758,17,42,6
2024-08-01,Germany,Direct,Mobile,Android,1,5.07,1,3925,864,12,64,15
2024-01-16,France,Referral,Mobile,Others,1,1.54,1,8891,899,24,37,5
2024-04-30,Germany,CRM,Tablet,Others,3,5.99,1,7657,1958,48,155,55
2024-09-05,Ireland,Direct,Mobile Web,Android,2,6.44,2,11018,1808,47,140,43
2024-07-28,Ireland,Direct,Mobile,Android,3,5.65,3,8355,1505,11,90,28
2025-07-19,Italy,Social,Desktop,Android,1,3.89,1,7893,425,14,13,1
2025-01-24,France,Direct,Mobile Web,Android,4,8.3,3,6948,953,29,48,10
2024-11-11,Italy,Paid,Tablet,Android,4,3.05,3,1258,105,4,5,1
2025-06-09,France,Paid,Mobile,Android,5,3.56,3,5140,482,1,23,4
2024-04-10,Italy,Social,Desktop,Android,3,4.78,2,7397,431,3,17,4
2024-11-23,Ireland,Organic,Desktop,iOS,2,7.57,2,8960,1786,12,140,24
2024-11-16,Germany,Organic,Mobile,Others,6,4.78,3,1991,331,6,25,6
2025-07-30,Italy,Direct,Mobile,Android,3,6.26,1,6283,1203,13,76,13
2024-01-17,Germany,Organic,Desktop,Android,4,10.53,2,8011,1386,20,106,36
2025-08-21,France,CRM,Mobile,iOS,3,4.13,3,4175,882,19,76,22
2025-03-03,Spain,Social,Desktop,Others,3,5.06,3,7074,366,7,6,0
2024-07-19,France,Paid,Mobile Web,Android,5,4.72,2,1046,62,3,3,0
2025-01-23,France,Organic,Tablet,Android,3,3.77,1,7179,985,31,69,17
2025-05-26,Spain,Social,Tablet,iOS,4,2.52,2,4141,201,3,8,0
2024-09-20,Spain,Paid,Tablet,iOS,5,6.02,3,5142,436,5,25,6
2025-04-16,Italy,Social,Desktop,Android,2,5.39,2,10465,542,7,15,3
2024-12-26,Germany,Organic,Mobile,Android,6,5.26,6,3943,652,10,35,10
2025-07-13,Germany,Organic,Desktop,iOS,5,12.11,2,1665,383,8,37,14
2025-07-09,Italy,Organic,Desktop,iOS,3,6.16,1,9040,1585,42,131,26
2025-06-20,Ireland,Organic,Desktop,iOS,7,7.21,1,4913,1126,13,94,25
2024-02-19,United Kingdom,Paid,Desktop,Android,5,5.42,1,5028,730,16,53,13
2024-05-20,United Kingdom,CRM,Desktop,iOS,6,4.6,4,5412,1545,25,163,68
2024-03-10,Ireland,Organic,Tablet,Android,11,3.65,4,8351,1406,15,80,18
2024-01-10,Ireland,Organic,Mobile Web,iOS,6,3.94,2,5894,777,25,53,8
2025-04-11,Germany,Paid,Mobile,iOS,3,3.95,3,6705,642,10,25,4
2025-09-24,France,Organic,Desktop,Android,2,7.19,1,7754,1586,29,129,35
2025-05-14,Ireland,Social,Desktop,Android,4,0.5,4,3279,206,2,3,0
2025-06-28,United Kingdom,Direct,Desktop,iOS,3,6.83,1,3433,1093,27,126,58
2024-01-13,Spain,Direct,Mobile,iOS,9,8.35,7,3208,592,13,49,9
2024-10-08,United Kingdom,Paid,Desktop,iOS,3,1.86,3,7406,1041,19,68,19
2024-01-18,Spain,Social,Desktop,Android,4,4.76,3,3186,147,3,5,1
2024-07-02,Spain,Social,Desktop,iOS,4,6.5,4,5844,374,15,11,1
2025-06-20,United Kingdom,Organic,Mobile Web,Android,1,6.73,1,6501,922,9,53,17
2024-07-15,Germany,Organic,Tablet,Android,5,6.61,2,7787,1257,14,79,21
2024-09-15,Spain,Organic,Desktop,iOS,7,8.75,5,6905,1352,37,105,27
2025-02-10,France,Organic,Mobile,iOS,7,5.1,3,3809,707,15,48,15
2025-02-19,United Kingdom,Referral,Desktop,Android,5,4.9,3,7963,926,13,93,18
2024-09-06,Italy,Social,Desktop,iOS,3,3.31,3,8677,637,8,24,0
2024-11-03,Ireland,Paid,Mobile Web,iOS,5,5.54,2,7550,575,10,35,7
2024-02-02,Ireland,Paid,Desktop,Android,5,2.02,1,8389,956,17,51,11
2025-01-23,United Kingdom,Paid,Desktop,Others,4,3.86,4,5205,597,13,31,2
2025-05-02,Italy,Social,Mobile Web,Android,5,2.42,5,11049,413,7,11,2
2024-06-24,United Kingdom,Paid,Desktop,Android,2,4.83,1,7704,1012,25,60,14
2025-03-20,United Kingdom,Paid,Tablet,Android,5,3.78,4,10726,1279,36,70,12
2025-08-02,Ireland,Organic,Desktop,Others,3,4.89,2,7671,1232,22,93,22
2024-08-23,United Kingdom,Social,Desktop,iOS,4,4.49,1,6261,463,19,32,2
2024-10-04,Germany,Direct,Mobile Web,Android,4,5.28,4,2550,392,9,28,0
2024-10-14,United Kingdom,Direct,Mobile,Android,8,7.0,2,2202,482,14,42,14
2024-07-02,Spain,CRM,Tablet,Android,4,2.52,1,8480,2008,53,154,36
2024-07-31,France,Organic,Mobile,Android,7,6.47,1,5278,786,7,49,10
2025-02-11,Spain,Paid,Mobile Web,iOS,8,3.51,3,5003,341,7,19,4
2024-06-15,United Kingdom,Paid,Mobile,Android,5,2.44,3,8516,755,15,39,9
2025-08-03,Spain,Organic,Mobile,Others,4,3.38,2,5014,706,20,32,7
2025-07-07,Italy,Paid,Desktop,Android,3,4.42,3,9517,905,10,51,8
2024-05-23,France,Referral,Tablet,Others,5,3.5,4,2926,349,8,15,2
2025-05-27,Ireland,Organic,Mobile Web,Android,5,4.62,1,3039,351,9,25,3
2024-02-24,Ireland,CRM,Desktop,Android,4,3.46,3,7596,1850,41,157,52
2024-08-25,United Kingdom,Direct,Desktop,Android,4,6.7,4,1026,281,4,36,8
2025-09-11,United Kingdom,Organic,Mobile Web,Android,4,5.72,3,10675,1474,38,96,12
2024-11-30,Spain,Direct,Mobile,iOS,4,7.27,4,9117,1627,33,119,27
2025-04-06,United Kingdom,Direct,Desktop,Others,1,5.89,1,1653,352,1,27,13
2024-12-30,Italy,Paid,Mobile,Others,12,5.22,4,4403,343,10,13,2
2025-03-18,Spain,Social,Desktop,Others,4,5.54,4,7685,375,7,12,1
2025-08-22,Germany,Organic,Mobile,Others,3,3.9,3,9146,1249,22,89,21
2024-03-28,Ireland,Organic,Desktop,Android,4,7.86,4,6910,1067,19,86,14
2024-09-09,Spain,Direct,Mobile,iOS,6,3.87,3,3873,744,20,53,15
2024-03-25,Ireland,Organic,Mobile Web,iOS,2,4.7,1,4384,667,11,39,7
2025-01-24,France,Direct,Mobile,Android,3,5.24,1,5393,1010,24,91,20
2025-02-02,Ireland,Paid,Desktop,iOS,8,6.14,3,5262,461,11,33,4
2024-04-19,France,Paid,Desktop,iOS,4,3.64,3,2293,278,6,13,2
2024-11-11,United Kingdom,Social,Desktop,Android,14,2.82,1,6284,410,10,16,6
2024-10-03,Italy,Social,Desktop,iOS,5,1.98,3,3151,187,2,8,1
2024-03-30,United Kingdom,Social,Mobile Web,iOS,5,2.83,2,11751,690,14,34,4
2025-04-04,Germany,Organic,Tablet,Android,7,6.52,4,2112,373,11,34,8
2025-06-08,Spain,Social,Mobile,Android,7,2.99,5,8546,365,3,11,0
2024-01-27,Italy,CRM,Desktop,iOS,4,6.08,1,3929,954,14,101,37
2025-07-21,United Kingdom,Organic,Desktop,iOS,7,5.57,3,2568,572,9,48,16
2025-01-29,United Kingdom,Paid,Mobile,Others,4,4.13,3,5834,642,18,38,11
2025-02-27,United Kingdom,Referral,Desktop,Android,6,5.39,3,7992,1056,30,87,20
2024-03-27,Italy,Paid,Mobile Web,iOS,7,3.8,7,8350,652,8,34,1
2025-08-08,Ireland,Direct,Desktop,Android,2,5.91,1,4085,737,9,65,14
2025-01-24,Spain,Paid,Desktop,iOS,7,6.97,2,2125,270,13,8,1
2024-10-02,Germany,Social,Tablet,Android,1,1.2,1,4528,303,8,11,2
2025-05-19,France,Direct,Mobile,iOS,6,9.53,3,7253,1582,36,132,26
2024-06-20,Germany,Paid,Mobile,Others,4,0.65,1,3639,341,7,9,2
2025-03-07,Italy,Organic,Mobile,Android,3,1.87,2,3664,555,4,33,11
2024-03-19,France,Direct,Mobile,Android,4,7.35,4,1652,318,3,19,4
2024-09-09,France,Organic,Desktop,iOS,7,3.37,3,5147,1059,31,111,28
2025-05-22,Ireland,Paid,Desktop,Android,3,4.9,3,2174,260,6,18,5
2025-04-13,Spain,Organic,Mobile,iOS,8,3.73,4,7407,1231,33,85,18
2024-11-07,United Kingdom,Organic,Mobile,iOS,4,4.81,2,5997,1231,26,92,24
2024-12-06,United Kingdom,Organic,Desktop,iOS,2,8.86,2,3773,811,10,98,28
2024-12-03,Spain,Organic,Desktop,Android,1,5.64,1,2691,481,5,31,10
2025-03-16,Italy,Paid,Tablet,Others,4,2.98,3,10193,826,11,44,7
2024-11-03,Ireland,Organic,Desktop,iOS,4,8.42,2,3093,520,13,29,3
2024-07-24,France,Organic,Desktop,iOS,6,4.76,5,10539,2002,26,202,55
2024-06-30,Italy,Direct,Mobile,Others,3,3.65,2,5613,946,14,60,11
2024-10-25,Italy,Organic,Mobile,Android,5,6.13,3,2286,315,7,22,8
2025-10-10,Ireland,Organic,Mobile,Android,3,3.93,3,7516,1131,14,78,18
